序号,ID,标题,类型标签,网盘类目,年份,模块,是否已提取百度链接,转存状态,提取码,解压密码,云桥链接,百度链接,备注
1392,48520,Maya硬表面建模蜘蛛坦克模型制作视频教程,模型教程、视频教程、Maya教程,Maya教程,2024以后,教程课程,无,pending,YQ11816,yunqiaonet,https://www.yunqiaonet.com/goto?down=TlNwNjBac2REU1BTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1393,48518,Python基础与数据科学：NumPy和Pandas指南,软件教程,软件教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=eCtTYXN3TVRDOG5TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1394,48516,Houdini School – HS -121 – Abstract Motion Design Copernicus,Houdini教程,Houdini教程,2024以后,未分类,无,pending,YQ11812,yunqiaonet,https://www.yunqiaonet.com/goto?down=c3ZMY1J2N09GVm5TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1395,48514,Houdini Ocean – 从水下升起的宇宙飞船 – 场景文件解读,模型素材、Houdini素材,Houdini素材,2024以后,模型,无,pending,YQ11811,yunqiaonet,https://www.yunqiaonet.com/goto?down=KzFsV1drMmszWFhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1396,48512,Houdini School – HS-242: Solver Madness,Houdini教程,Houdini教程,2024以后,未分类,无,pending,YQ11810,yunqiaonet,https://www.yunqiaonet.com/goto?down=WDdneFNzbWZEeVhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1397,48510,Houdini School – HS-236: Velocity Forces 2.0: 高级课程,Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ11809,yunqiaonet,https://www.yunqiaonet.com/goto?down=clZGNlVtb3pSR2JTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1398,48467,用After Effects打造立体感十足的动态图形,视频教程,视频教程,2024以后,未分类,无,pending,YQ11796,yunqiaonet,https://www.yunqiaonet.com/goto?down=bGdnN3Z0bllWQ0hTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1399,48461,VFX-ZEN：为未来的视觉特效艺术家铺平道路,合成教程,合成教程,2024以后,未分类,无,pending,YQ11775,yunqiaonet,https://www.yunqiaonet.com/goto?down=czdCY2pmb1BjeHZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1400,48412,Houdini School – HS-221 – Art Directing Cloth in Houdini,Houdini教程,Houdini教程,2024以后,未分类,无,pending,YQ11781,yunqiaonet,https://www.yunqiaonet.com/goto?down=M1VQSW1NZk1tdzdTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1401,48409,Houdini School – HS-118 – Attributes,Houdini教程,Houdini教程,2024以后,未分类,无,pending,YQ11780,yunqiaonet,https://www.yunqiaonet.com/goto?down=K1d6SEJVVFl1NTNTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1402,48341,Houdini教程-液体SOPs：无须深入DOP模拟，学习程序性液体模拟,Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ11779,yunqiaonet,https://www.yunqiaonet.com/goto?down=blVhLzRFUjliV3pTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1403,48337,FXPHD – VRY103 – V-Ray基础课程第一部分,综合教程,综合教程,2024以后,教程课程,无,pending,YQ11776,yunqiaonet,https://www.yunqiaonet.com/goto?down=U2lOZmtzelhWa1RTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1404,48316,3Ds Max Tyflow：从初学者到大师级模拟视频教程,视频教程、3dsMax教程,3dsMax教程,2024以后,教程课程,无,pending,YQ11772,yunqiaonet,https://www.yunqiaonet.com/goto?down=S3JmWWhiSVJUMmZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1405,48261,Godot 4.3初学者游戏开发制作视频教程,视频教程,视频教程,2024以后,教程课程,无,pending,YQ11770,yunqiaonet,https://www.yunqiaonet.com/goto?down=VVdkREFDOWVTUFhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1406,48240,大型未来科幻城市场景案例项目解析,模型教程,模型教程,2024以后,教程课程,无,pending,YQ11762,yunqiaonet,https://www.yunqiaonet.com/goto?down=N2hPaHE1YkpGNVRTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1407,48236,Houdini课程 – HS-226: MOPs：Houdini的运动运算符,Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ11758,yunqiaonet,https://www.yunqiaonet.com/goto?down=N0Q1a0RQWWpxMFRTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1408,48228,使用3Ds Max、V-Ray和Vantage制作现代外观建筑可视化视频教程,视频教程、3dsMax教程,3dsMax教程,2024以后,教程课程,无,pending,YQ11756,yunqiaonet,https://www.yunqiaonet.com/goto?down=RWxxUG1iRStEL2JTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1409,48182,Blender与AE动态设计动画制作课程,视频教程、Blender教程,Blender教程,2024以后,教程课程,无,pending,YQ11721,yunqiaonet,https://www.yunqiaonet.com/goto?down=T0hWd3dvN1llQlhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1410,48179,Artstation–好时光杂货店场景制作–Steffen Hampel个人项目解析,模型教程,模型教程,2024以后,教程课程,无,pending,YQ11720,yunqiaonet,https://www.yunqiaonet.com/goto?down=U1RCRGNxb2hvbzdTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1411,48172,A Gondor City项目分解与场景文件分享,模型素材,模型素材,2024以后,模型,无,pending,YQ11716,yunqiaonet123,https://www.yunqiaonet.com/goto?down=VjFEb2pXR05STjNTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1412,48170,Winxvideo AI：人工智能驱动的视频处理工具,软件教程、AI教程、视频教程,综合教程,2024以后,软件插件,无,pending,YQ11719,yunqiaonet,https://www.yunqiaonet.com/goto?down=USsrZStRM29EY0tsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
1413,48168,Aiarty Image Enhancer：利用AI技术提升图像质量的利器,综合教程,综合教程,2024以后,未分类,无,pending,YQ11718,yunqiaonet,https://www.yunqiaonet.com/goto?down=YlhlVzcvQW5Nb0dsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
1414,48158,CG模型制作完整的重拓扑指南,模型教程,模型教程,2024以后,教程课程,无,pending,YQ11713,yunqiaonet,https://www.yunqiaonet.com/goto?down=ZXE3bDRlcXhoci9TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1415,48152,利用生成式AI和ChatGPT精通数据科学与Python,AI教程、软件教程,综合教程,2024以后,未分类,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=NDBVdXJYNTdwVkhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1416,48140,Mossaik Classic Pro：新时代的图像编辑利器,综合教程,综合教程,2024以后,教程课程,无,pending,YQ11708,yunqiaonet,https://www.yunqiaonet.com/goto?down=eFJTQ2pKQ1d2T2lsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
1417,48138,Mossaik Presets：一款强大智能的图像编辑器,综合教程,综合教程,2024以后,未分类,无,pending,YQ11707,yunqiaonet,https://www.yunqiaonet.com/goto?down=NzJZbHkwekFBRVdsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
1418,48136,Mossaik XDR：革命性的照片编辑器,综合教程,综合教程,2024以后,未分类,无,pending,YQ11706,yunqiaonet,https://www.yunqiaonet.com/goto?down=bG9Mcjc0NVBRV1NsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
1419,48134,从构思到最终渲染多软件结合全流程创建CG角色半身像视频课程,模型教程、视频教程、软件教程,综合教程,2024以后,教程课程,无,pending,YQ11705,yunqiaonet,https://www.yunqiaonet.com/goto?down=UUliNGRaQ1ROdFBTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1420,48132,使用FotoJet拼贴封面图- 快速将普通照片变成惊艳的拼贴画,综合教程,综合教程,2024以后,未分类,无,pending,YQ11703,yunqiaonet,https://www.yunqiaonet.com/goto?down=bHV0dHNuOHBWRWlsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
1421,48117,Adobe Illustrator插件合集 Astute Graphics Plug-ins Elite Bundle 3.9.8,软件教程,软件教程,2024以后,软件插件,无,pending,YQ11700,yunqiaonet,https://www.yunqiaonet.com/goto?down=WkR6dkI5NmhiTGZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1422,48115,Moho Pro：专业动画师的理想选择,综合教程,综合教程,2024以后,未分类,无,pending,YQ11699,yunqiaonet,https://www.yunqiaonet.com/goto?down=MWNuVjFXalp3TitsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
1423,48105,Chaos Vantage：实时渲染的未来,综合教程,综合教程,2024以后,未分类,无,pending,YQ11697,yunqiaonet,https://www.yunqiaonet.com/goto?down=b2NxdGJic3lkbzZsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
1424,48099,影视级CG硬表面车辆模型制作视频教程,模型教程、视频教程,综合教程,2024以后,教程课程,无,pending,YQ11693,yunqiaonet,https://www.yunqiaonet.com/goto?down=aWIxWmZVMTQzQmZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1425,48096,TyDiffusion Ai在3ds Max中完整课程,3dsMax教程,3dsMax教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=eElGT3E1N3BwT0RTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1426,48094,Ultimate FX in Houdini：掌握电影特效的终极技巧,合成教程、Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ11691,123yunqiaonet,https://www.yunqiaonet.com/goto?down=eGJ0dWovanMxZHZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1427,48080,Beauty Box Video：简单、自动化的皮肤修饰与数字化妆插件,软件教程,软件教程,2024以后,软件插件,无,pending,YQ11686,yunqiaonet,https://www.yunqiaonet.com/goto?down=dDNpbjA2Q1dzMWpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1428,48058,VTuber插画风格3D建模全流程视频教程：从基础知识到实际应用的全面指南,模型教程、视频教程,综合教程,2024以后,教程课程,无,pending,YQ11675,yunqiaonet789,https://www.yunqiaonet.com/goto?down=a0Q2WGN3Y0o5Z1hTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1429,48055,硬表面建模拓扑学视频教程：获取清晰拓扑的秘密,模型教程、视频教程,综合教程,2024以后,教程课程,无,pending,YQ11677,yunqiaonet,https://www.yunqiaonet.com/goto?down=V3FQYXdwT2ZEL1BTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1430,48049,使用摄影测量技术创建面部表情动画制作,综合教程,综合教程,2024以后,未分类,无,pending,YQ11673,yunqiaonet,https://www.yunqiaonet.com/goto?down=VlZuaXRES2x4ODNTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1431,48028,Hazy：FilmConvert新推出的柔和插件,软件教程,软件教程,2024以后,软件插件,无,pending,YQ11666,yunqiaonet,https://www.yunqiaonet.com/goto?down=RGpxc05uaVArRHJTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1432,48024,Godot 4制作功能丰富的3D RPG角色扮演游戏视频教程,模型教程、视频教程,综合教程,2024以后,教程课程,无,pending,YQ11662,123yunqiaonet,https://www.yunqiaonet.com/goto?down=QUJYdXp5YzR1elRTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1433,48022,Rhinoceros：强大的NURBS 3D曲面建模软件,软件教程、模型教程,综合教程,2024以后,软件插件,无,pending,YQ11665,yunqiaonet,https://www.yunqiaonet.com/goto?down=T2VhMThGbWZNa1hTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1434,48014,适合所有人的照片编辑软件：Lightroom带您轻松获得完美图像,软件教程,软件教程,2024以后,软件插件,无,pending,YQ11661,yunqiaonet,https://www.yunqiaonet.com/goto?down=ZS9nL25MbVY5MGJTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1435,48000,V-Ray 7 for SketchUp：实时渲染与照片级渲染的完美结合,综合教程,综合教程,2024以后,未分类,无,pending,YQ11653,yunqiaonet,https://www.yunqiaonet.com/goto?down=TFhIaDFpMmpKazNTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1436,47998,Chaos发布V-Ray 7 for Rhino：全新渲染器版本的创新与提升,软件教程,软件教程,2024以后,软件插件,无,pending,YQ11652,yunqiaonet,https://www.yunqiaonet.com/goto?down=SzluSnRZaStlZEhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1437,47994,DVIZ – UE5 –Marvelous Designer在建筑可视化中的应用,UE教程、Marvelous教程,Marvelous教程,2024以后,未分类,无,pending,YQ11650,123yunqiaonet,https://www.yunqiaonet.com/goto?down=VExPdTVwK3NqMUxTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1438,47991,Substance Designer制作树皮材质视频教程,贴图教程、视频教程、Substance教程,Substance教程,2024以后,教程课程,无,pending,YQ11639,yunqiaonet,https://www.yunqiaonet.com/goto?down=VkVINXc5bWNlMUxTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1439,47977,Sequence Generator Pro：为天文摄影提供一流的图像捕获套件,综合教程,综合教程,2024以后,未分类,无,pending,YQ11635,yunqiaonet,https://www.yunqiaonet.com/goto?down=NTZjY3dDSnNtanFsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
1440,47969,在Houdini中掌握毛发梳理的基础知识,Houdini教程,Houdini教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=ajVjWGFJRk1IQW5TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1441,47943,具有美丽光线的KeyShot超现实产品渲染视频教程,视频教程,视频教程,2024以后,教程课程,无,pending,YQ11630,123yunqiaonet,https://www.yunqiaonet.com/goto?down=bXJwa2NBODhXb3pTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1442,47891,Maya三维动画制作视频课程,视频教程、Maya教程,Maya教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=YVhGdTNVRVk5cHJTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1443,47886,Maya和Substance Painter制作骑士比赛车建模和贴图及动画课程,贴图教程、模型教程、Maya教程、Substance教程,综合教程,2024以后,教程课程,无,pending,YQ11616,yunqiaonet,https://www.yunqiaonet.com/goto?down=ZXNaUGNDdnUwUzdTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1444,47884,Mari一款强大且高效的3D纹理制作绘制软件,贴图教程、软件教程,综合教程,2024以后,教程课程,无,pending,YQ11615,yunqiaonet,https://www.yunqiaonet.com/goto?down=WVp4QmZxcFlKdkhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1445,47876,CGCircuit – Applied Houdini Liquids IV – 流体交互：打造逼真的液体模拟,合成素材、Houdini素材,Houdini素材,2024以后,合成元素,无,pending,YQ11611,yunqiaonet,https://www.yunqiaonet.com/goto?down=RkFNQzRZVnBLM3ZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1446,47874,Skylum推出了Aperty：为肖像摄影师提供快速的人工智能辅助图像修饰和编辑工具,软件教程、AI教程,综合教程,2024以后,软件插件,无,pending,YQ11610,yunqiaonet,https://www.yunqiaonet.com/goto?down=Nmhub21kMUZIbFNsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
1447,47872,终极Corona官方课程：Chaos Corona for 3DS MAX,3dsMax教程,3dsMax教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=WW1XRnhXdk9RRmpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1448,47868,Nobe OmniScope：强大的视频调色示波器插件,软件教程、调色教程、视频教程,综合教程,2024以后,软件插件,无,pending,YQ11607,yunqiaonet,https://www.yunqiaonet.com/goto?down=TElWZkpwUytNUytsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
1449,47866,Nobe Display：达芬奇独立视频窗口预览外挂显示上屏插件,软件教程、视频教程,综合教程,2024以后,软件插件,无,pending,YQ11606,yunqiaonet,https://www.yunqiaonet.com/goto?down=TGRjMHV1NFJRZVNsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
1450,47839,学习AI辅助的 Python编程-让你的创意立即成真,软件教程,软件教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=eTQ2WWJGbFYwc3JTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1451,47836,Maya动画师的身体力学课程,Maya教程,Maya教程,2024以后,教程课程,无,pending,YQ11580,yunqiaonet,https://www.yunqiaonet.com/goto?down=dWUzb01CbVhoejdTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1452,47830,Schrodinger PyMOL 分子可视化软件：理解分子结构与功能的强大工具,软件教程,软件教程,2024以后,软件插件,无,pending,YQ11578,yunqiaonet,https://www.yunqiaonet.com/goto?down=VTlRZmdYT1hNZUNsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
1453,47811,Motion Designers Academy – Mastering Houdini on a new level: The Symbiote Creature,Houdini教程,Houdini教程,2024以后,未分类,无,pending,YQ11568,yunqiaonet,https://www.yunqiaonet.com/goto?down=SVBKcDJycnVpTXpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1454,47809,Voxyde – Houdini Vellum解体技术的深度掌握,Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ11563,yunqiaonet,https://www.yunqiaonet.com/goto?down=UzJ4cFBueitKWERTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1455,47783,Houdini从头到尾创建一个程序生成的罗马桥3D资产视频教程,模型教程、视频教程、Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ11558,yunqiaonet,https://www.yunqiaonet.com/goto?down=ZXFsVlVCNjE3eGZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1456,47781,Houdini程序建模教堂遗址制作视频课程,模型教程、视频教程、Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ11557,yunqiaonet,https://www.yunqiaonet.com/goto?down=OHBSSy9YUFlpL2pTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1457,47751,探索Luminar Neo：摄影后期制作的未来,综合教程,综合教程,2024以后,未分类,无,pending,,yunqiaonet,,,待补链接
1458,47749,学习2D游戏开发：从零开始掌握Godot 4.3+和C#视频教程,视频教程,视频教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=MUtmQnJ3RHFCVjdTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1459,47747,Mediachance AI照片与艺术增强器：使用人工智能为您的照片和艺术作品添加惊人的细节,AI教程,AI教程,2024以后,未分类,无,pending,YQ11553,yunqiaonet,https://www.yunqiaonet.com/goto?down=ZXFmejVHdC9NdytsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
1460,47743,Houdini FX for 3D艺术家课程：在您的项目中创造惊人的视觉效果,Houdini教程,Houdini教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=MGdkbVlaNUd3aDNTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1461,47737,MattePaint Academy – Nuke中的相机跟踪与高级投影课程,Nuke教程,Nuke教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=UWN3YXpsU1lNWlhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1462,47709,Motion 5.9.0 MacOS：苹果自家开发的专业影视后期视频编辑软件,软件教程、视频教程,综合教程,2024以后,软件插件,无,pending,YQ11515,yunqiaonet,https://www.yunqiaonet.com/goto?down=enJGYWtFTklkYXFsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
1463,47704,Final Cut Pro 11：从零开始重新设计的革命性视频编辑软件,视频教程、软件教程,综合教程,2024以后,教程课程,无,pending,YQ11513,yunqiaonet,https://www.yunqiaonet.com/goto?down=dEIzKy9Mck5FSVdsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
1464,47702,AI引导项目与练习从基础到高级与ChatGPT一起编程：轻松掌握Python,AI教程、软件教程,综合教程,2024以后,教程课程,无,pending,YQ11512,yunqiaonet,https://www.yunqiaonet.com/goto?down=WmZub1BHTVgySC9TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1465,47693,Photoshop：快速修复技巧与窍门视频教程,视频教程、Photoshop教程,Photoshop教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=dlRlUkpkZ3RlbkRTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1466,47668,Marvelous Designer服装设计实时布料模拟制作视频课程,视频教程、Marvelous教程,Marvelous教程,2024以后,教程课程,无,pending,YQ11503,yunqiaonet,https://www.yunqiaonet.com/goto?down=TEF5cHBiZzNKNGpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1467,47656,Chaos发布V-Ray 7 for 3ds Max：下一代生产渲染器的重大更新,3dsMax教程,3dsMax教程,2024以后,未分类,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=L2t3LzlQODdEWFBTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1468,47634,使用Tiled自动映射和Godot 4.3 C#自动化关卡设计视频教程,视频教程,视频教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=UG5ZNFdtMnllWW5TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1469,47620,AI Transcription：简化音频和视频转录流程的智能解决方案,软件教程、音效教程、视频教程,综合教程,2024以后,软件插件,无,pending,YQ11387,yunqiaonet,https://www.yunqiaonet.com/goto?down=dzdsV2N4R0o2b21sWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
1470,47607,ps插图叙事与设计技巧视频教程,视频教程、Photoshop教程,Photoshop教程,2024以后,教程课程,无,pending,YQ11385,yunqiaonet,https://www.yunqiaonet.com/goto?down=Z2VlT0MvWU05Q25TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1471,47605,在Photoshop中为电影设计生物化妆,Photoshop教程,Photoshop教程,2024以后,未分类,无,pending,YQ11383,yunqiaonet,https://www.yunqiaonet.com/goto?down=ZThLdVI5ZmtXc25TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1472,47603,精通Maya中的身体力学视频教程,视频教程、Maya教程,Maya教程,2024以后,教程课程,无,pending,YQ11382,yunqiaonet,https://www.yunqiaonet.com/goto?down=TzlJVVZjaWVreERTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1473,47601,从头到尾创建空调：掌握3Ds Max、Zbrush、Rizom UV和Substance Painter中的3D建模、UV展开、纹理和渲染技术,贴图教程、模型教程、ZBrush教程、Substance教程、3dsMax教程,综合教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=TGxTKzVNK3NiZnZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1474,47597,精通混沌之刃：3D建模与纹理课程,贴图教程、模型教程,综合教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=NG44Y2ljOFE1MERTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1475,47588,在Houdini中处理科学数据集：一堂实用的技术课程,Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ11380,yunqiaonet,https://www.yunqiaonet.com/goto?down=VVltck9FZXNaRWJTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1476,47586,Houdini.School – HS-111 – History of Houdini Systems with Kate Xagoraris,Houdini教程,Houdini教程,2024以后,未分类,无,pending,YQ11378,yunqiaonet,https://www.yunqiaonet.com/goto?down=VG9Kditja0I1MzdTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1477,47569,nuke键控与创建2.5D投影合成进阶视频教程,合成教程、视频教程、Nuke教程,Nuke教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=R3g4QXIyUDY3UUxTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1478,47559,Maya、Katana、Arnold和Nuke进行电影镜头的照明和合成视频课程,合成教程、视频教程、Maya教程、Nuke教程,综合教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=SVdpVU1nMnowdERTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1479,47542,影视特效合成制作软件 Fusion Studio 19,软件教程、合成教程,综合教程,2024以后,软件插件,无,pending,YQ11357,yunqiaonet,https://www.yunqiaonet.com/goto?down=a0NRbm1YSzM1R2pTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1480,47540,DaVinci Resolve：一站式影视后期制作解决方案,调色教程,调色教程,2024以后,未分类,无,pending,YQ11356,yunqiaonet,https://www.yunqiaonet.com/goto?down=cmg0Yk5pMitteW1sWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
1481,47534,Cavalry：高效的2D动画制作软件,软件教程,软件教程,2024以后,软件插件,无,pending,YQ11353,yunqiaonet,https://www.yunqiaonet.com/goto?down=dFprUnlsY0hNWmFsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
1482,47516,面向3D艺术家的houdini程序生成与环境构建视频教程,模型教程、视频教程、Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ11328,yunqiaonet,https://www.yunqiaonet.com/goto?down=TGcvek1EcHhESy9TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1483,47502,像学习After Effects 一样学习Nuke：提升你的VFX技能,合成教程、视频教程、Nuke教程,Nuke教程,2024以后,教程课程,无,pending,YQ11331,yunqiaonet,https://www.yunqiaonet.com/goto?down=NXpXU296RUF3dnZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1484,47495,通过设计制作学习字母的表现力和独特的笔迹,综合教程,综合教程,2024以后,教程课程,无,pending,YQ11323,yunqiaonet,https://www.yunqiaonet.com/goto?down=WG42aUJ6QnErZXpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1485,47486,古风女性CG角色制作全流程视频课程,模型教程、视频教程,综合教程,2024以后,教程课程,无,pending,YQ11308,yunqiaonet123,https://www.yunqiaonet.com/goto?down=eUk3ZUtPZkc5YlRTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1486,47482,用Houdini进行奇幻生物造型：过程与技巧,Houdini教程,Houdini教程,2024以后,未分类,无,pending,YQ11322,yunqiaonet,https://www.yunqiaonet.com/goto?down=eHhRUW9PN2hISlRTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1487,47478,Maya、Wrap与ZBrush角色创建工作流程-为VFX创建高效数字替身视频教程,合成教程、模型教程、视频教程、Maya教程、ZBrush教程,综合教程,2024以后,教程课程,无,pending,YQ11321,yunqiaonet,https://www.yunqiaonet.com/goto?down=bjA4NW1nNXZEVWpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1488,47476,C4D用户转向Houdini课程学习,Houdini教程、C4D教程,综合教程,2024以后,教程课程,无,pending,YQ11320,yunqiaonet,https://www.yunqiaonet.com/goto?down=aTdjRDdPdXBGcmpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1489,47441,Adobe Substance 3D Sampler 4.5.2 x64 破解版,Substance教程,Substance教程,2024以后,软件插件,无,pending,YQ11303,yunqiaonet,https://www.yunqiaonet.com/goto?down=QVRzZzkyN1BzZmVsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
